iter	Passed	Remaining
0	2	2614
1	4	2447
2	7	2350
3	9	2308
4	11	2346
5	14	2401
6	15	2231
7	18	2254
8	20	2242
9	22	2276
10	25	2283
11	28	2322
12	30	2347
13	33	2388
14	36	2396
15	39	2434
16	40	2366
17	43	2379
18	46	2389
19	49	2432
20	52	2441
21	55	2470
22	58	2493
23	61	2507
24	64	2520
25	67	2527
26	70	2536
27	73	2549
28	77	2583
29	80	2612
30	84	2625
31	87	2635
32	90	2644
33	93	2650
34	96	2650
35	98	2647
36	101	2652
37	104	2656
38	107	2650
39	110	2656
40	113	2650
41	116	2650
42	118	2642
43	121	2643
44	124	2637
45	127	2638
46	130	2637
47	132	2636
48	136	2641
49	138	2640
50	141	2637
51	144	2632
52	147	2631
53	149	2625
54	152	2627
55	155	2619
56	158	2618
57	160	2614
58	164	2619
59	166	2611
60	169	2607
61	171	2598
62	174	2595
63	177	2594
64	180	2595
65	183	2593
66	185	2588
67	189	2591
68	191	2585
69	194	2587
70	197	2578
71	199	2575
72	202	2572
73	205	2571
74	207	2562
75	210	2560
76	213	2554
77	216	2554
78	218	2548
79	221	2545
80	224	2542
81	226	2539
82	229	2536
83	232	2533
84	235	2531
85	237	2527
86	241	2535
87	244	2532
88	247	2528
89	249	2521
90	252	2517
91	255	2519
92	258	2517
93	261	2516
94	263	2512
95	266	2512
96	269	2509
97	272	2508
98	274	2501
99	277	2498
100	280	2495
101	283	2493
102	285	2488
103	288	2485
104	291	2481
105	293	2477
106	296	2474
107	297	2459
108	300	2454
109	303	2453
110	306	2452
111	309	2454
112	312	2450
113	314	2445
114	317	2443
115	320	2441
116	323	2440
117	325	2435
118	328	2430
119	331	2428
120	334	2430
121	337	2427
122	340	2425
123	342	2422
124	346	2424
125	349	2421
126	351	2416
127	354	2414
128	356	2409
129	359	2407
130	362	2402
131	365	2400
132	367	2396
133	370	2396
134	373	2391
135	376	2388
136	378	2383
137	381	2380
138	383	2377
139	387	2379
140	389	2374
141	392	2370
142	394	2366
143	397	2365
144	400	2362
145	403	2357
146	405	2354
147	408	2349
148	410	2346
149	413	2344
150	416	2343
151	419	2340
152	422	2340
153	425	2336
154	428	2335
155	431	2333
156	434	2330
157	436	2326
158	439	2324
159	442	2321
160	444	2318
161	448	2319
162	450	2315
163	453	2312
164	456	2307
165	459	2306
166	461	2301
167	464	2300
168	466	2295
169	469	2293
170	472	2289
171	475	2288
172	477	2284
173	480	2280
174	482	2275
175	485	2273
176	488	2269
177	490	2266
178	493	2261
179	495	2258
180	498	2255
181	501	2252
182	503	2249
183	506	2245
184	508	2241
185	511	2238
186	514	2236
187	517	2233
188	519	2229
189	522	2225
190	525	2223
191	527	2220
192	530	2216
193	532	2212
194	535	2208
195	537	2205
196	540	2203
197	543	2200
198	545	2197
199	548	2193
200	552	2195
201	554	2191
202	557	2189
203	560	2185
204	563	2183
205	565	2181
206	569	2179
207	571	2177
208	574	2175
209	578	2176
210	581	2173
211	583	2170
212	586	2166
213	589	2164
214	591	2161
215	594	2158
216	597	2154
217	599	2151
218	602	2149
219	605	2146
220	608	2143
221	610	2139
222	613	2136
223	615	2133
224	619	2132
225	621	2128
226	624	2125
227	626	2122
228	629	2120
229	632	2116
230	635	2113
231	637	2110
232	640	2107
233	642	2104
234	646	2104
235	648	2100
236	651	2097
237	654	2094
238	657	2092
239	659	2089
240	662	2085
241	664	2082
242	667	2079
243	670	2076
244	672	2073
245	675	2070
246	677	2066
247	680	2064
248	683	2061
249	686	2058
250	688	2055
251	691	2052
252	693	2049
253	697	2047
254	699	2043
255	702	2040
256	704	2037
257	708	2036
258	711	2034
259	713	2031
260	716	2027
261	718	2024
262	721	2022
263	724	2019
264	727	2016
265	729	2012
266	731	2009
267	734	2006
268	737	2004
269	740	2001
270	743	1998
271	745	1995
272	748	1993
273	751	1990
274	753	1987
275	756	1984
276	759	1982
277	762	1979
278	764	1976
279	767	1972
280	769	1970
281	772	1967
282	775	1964
283	778	1962
284	780	1959
285	783	1956
286	786	1953
287	789	1951
288	791	1947
289	794	1944
290	796	1941
291	800	1939
292	802	1936
293	805	1934
294	808	1931
295	811	1930
296	814	1927
297	817	1925
298	820	1922
299	822	1919
300	825	1917
301	828	1914
302	831	1912
303	834	1909
304	837	1907
305	839	1904
306	842	1902
307	845	1899
308	848	1896
309	851	1895
310	853	1891
311	856	1889
312	859	1886
313	862	1884
314	865	1881
315	868	1878
316	870	1875
317	873	1872
318	875	1869
319	879	1868
320	882	1865
321	884	1863
322	887	1860
323	890	1857
324	893	1855
325	896	1852
326	898	1850
327	901	1847
328	904	1845
329	907	1842
330	910	1840
331	913	1837
332	916	1834
333	918	1832
334	921	1828
335	924	1826
336	926	1822
337	929	1821
338	932	1818
339	935	1815
340	937	1812
341	941	1811
342	943	1808
343	946	1804
344	949	1802
345	951	1799
346	954	1796
347	957	1793
348	959	1790
349	962	1787
350	966	1786
351	968	1783
352	971	1780
353	974	1777
354	976	1775
355	979	1772
356	982	1769
357	985	1768
358	988	1764
359	991	1762
360	994	1760
361	997	1758
362	999	1754
363	1002	1751
364	1005	1749
365	1008	1746
366	1011	1744
367	1014	1741
368	1017	1739
369	1019	1736
370	1023	1734
371	1025	1731
372	1028	1728
373	1031	1726
374	1034	1723
375	1037	1721
376	1039	1718
377	1042	1715
378	1045	1712
379	1048	1710
380	1050	1706
381	1053	1704
382	1056	1701
383	1059	1698
384	1061	1696
385	1064	1693
386	1067	1690
387	1070	1688
388	1073	1685
389	1075	1682
390	1078	1680
391	1081	1677
392	1084	1675
393	1087	1673
394	1090	1670
395	1093	1667
396	1096	1664
397	1099	1662
398	1102	1659
399	1105	1657
400	1107	1654
401	1110	1652
402	1113	1649
403	1116	1647
404	1119	1644
405	1121	1641
406	1125	1639
407	1127	1636
408	1130	1633
409	1132	1630
410	1135	1627
411	1138	1624
412	1141	1622
413	1144	1619
414	1147	1617
415	1150	1615
416	1153	1612
417	1156	1609
418	1159	1607
419	1162	1605
420	1165	1602
421	1167	1599
422	1170	1597
423	1173	1594
424	1176	1592
425	1179	1589
426	1182	1587
427	1186	1585
428	1189	1583
429	1192	1580
430	1194	1577
431	1197	1575
432	1200	1572
433	1203	1570
434	1206	1567
435	1209	1564
436	1212	1562
437	1215	1559
438	1218	1556
